Player_Name,Player_Type,Role,Runs,Balls_Faced,Strike_Rate,Opponent_Team,Opponent_Bowler,Bowler_Type,Bowler_Variation,Ball_Line,Ball_Length,How_Out,Ground,Country,Ground_Type,Ground_Dimensions,Pitch_Type,Weather,Shot_Strength,Weakness
Dananjaya De Silva,All-rounder,5,4,21,19.04,Bangladesh,Nasum,Left Arm Orthodox,Arm Ball,Middle stump,Bouncer,Stumped,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Hot,Spin,Right Arm Mystery
Sadeera samarawickrama,Batsman,4,65,54,120.37,Australia,Hazlewood,Right Arm Fast,Yorker,Off stump,Short,Bowled,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Cloudy,On-side,Left Arm Medium
Kusal mendis,Batsman,3,0,1,0.0,Pakistan,Shaheen,Left Arm Fast,Bouncer,Wide,Bouncer,LBW,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Dry,Short Ball,Right Arm Fast
Kusal mendis,Batsman,3,0,1,0.0,England,Livingstone,Right Arm Off Spin,Arm Ball,Wide,Yorker,Not Out,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,Off-side,Right Arm Off Spin
Dananjaya De Silva,All-rounder,3,9,12,75.0,South Africa,Nortje,Right Arm Fast,Yorker,Off stump,Full,Run Out,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Cloudy,Off-side,Right Arm Fast
Dananjaya De Silva,All-rounder,6,44,80,55.0,Bangladesh,Mehidy,Right Arm Off Spin,Arm Ball,Off stump,Short,Run Out,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Humid,Spin,Right Arm Off Spin
Dananjaya De Silva,All-rounder,6,1,7,14.28,England,Rashid,Right Arm Leg Spin,Slider,Middle stump,Full,Stumped,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,On-side,Right Arm Leg Spin
Kusal mendis,Batsman,3,54,48,112.5,Australia,Agar,Left Arm Spin,Standard,Wide,Good length,LBW,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Humid,Spin,Right Arm Medium
Kusal mendis,Batsman,3,89,93,95.69,England,Willey,Left Arm Medium,Cutter,Leg stump,Good length,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,On-side,Left Arm Chinaman
Charith Asalanka,All-rounder,5,10,23,43.47,South Africa,Shamsi,Left Arm Chinaman,Slider,Leg stump,Bouncer,Bowled,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,On-side,Left Arm Chinaman
Dananjaya De Silva,All-rounder,3,119,219,54.33,England,Willey,Left Arm Medium,Cutter,Wide,Full,Not Out,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Dry,Pace,Right Arm Fast
Pathum Nissanka,Batsman,1,36,28,128.57,Pakistan,Naseem,Right Arm Fast,Slower Ball,Leg stump,Yorker,Not Out,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Dry,Short Ball,Left Arm Orthodox
Dananjaya De Silva,All-rounder,7,129,280,46.07,India,Thakur,Right Arm Medium,Knuckle Ball,Off stump,Yorker,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,Off-side,Left Arm Medium
Kusal mendis,Batsman,4,18,20,90.0,Australia,Agar,Left Arm Spin,Standard,Off stump,Full,LBW,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Humid,On-side,Left Arm Fast
Charith Asalanka,All-rounder,5,72,62,116.12,Pakistan,Nawaz,Left Arm Orthodox,Drift,Middle stump,Good length,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Dry,Short Ball,Left Arm Medium
Dananjaya De Silva,All-rounder,3,19,30,63.33,Bangladesh,Nasum,Left Arm Orthodox,Arm Ball,Leg stump,Good length,LBW,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,On-side,Left Arm Fast
Sadeera samarawickrama,Batsman,4,18,12,150.0,India,Chahal,Right Arm Leg Spin,Slider,Wide,Good length,Bowled,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,Spin,Right Arm Mystery
Kusal mendis,Batsman,3,4,17,23.52,Pakistan,Shadab,Right Arm Leg Spin,Googly,Middle stump,Bouncer,LBW,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Cloudy,Spin,Right Arm Medium
Kusal mendis,Batsman,3,53,66,80.3,England,Woakes,Right Arm Medium,Knuckle Ball,Leg stump,Short,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Humid,Spin,Right Arm Medium
Pathum Nissanka,Batsman,3,8,13,61.53,England,Moeen,Right Arm Off Spin,Arm Ball,Wide,Good length,Caught,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Cloudy,Spin,Left Arm Chinaman
Kusal mendis,Batsman,3,6,7,85.71,Bangladesh,Taijul,Left Arm Orthodox,Arm Ball,Wide,Short,Caught,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Pace,Right Arm Off Spin
Oshada fernando,Batsman,3,25,44,56.81,India,Siraj,Right Arm Fast,Slower Ball,Off stump,Full,Not Out,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Dry,Pace,Right Arm Off Spin
Charith Asalanka,All-rounder,5,79,65,121.53,Bangladesh,Nasum,Left Arm Orthodox,Arm Ball,Wide,Good length,Bowled,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,On-side,Right Arm Leg Spin
Dananjaya De Silva,All-rounder,5,8,10,80.0,South Africa,Maharaj,Left Arm Orthodox,Drift,Off stump,Yorker,Run Out,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Hot,Off-side,Right Arm Leg Spin
Kusal mendis,Batsman,3,19,30,63.33,England,Livingstone,Right Arm Off Spin,Arm Ball,Wide,Yorker,LBW,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,Off-side,Left Arm Fast
Kusal mendis,Batsman,3,59,82,71.95,South Africa,Phehlukwayo,Right Arm Medium,Slower Ball,Off stump,Short,Run Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Hot,Spin,Left Arm Wrist Spin
Dananjaya De Silva,All-rounder,7,48,79,60.75,South Africa,Jansen,Left Arm Fast,Swing,Wide,Yorker,Not Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,Off-side,Left Arm Chinaman
Sadeera samarawickrama,Batsman,2,1,7,14.28,South Africa,Maharaj,Left Arm Orthodox,Drift,Off stump,Yorker,Not Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Dry,Off-side,Left Arm Wrist Spin
Kusal mendis,Batsman,3,4,7,57.14,South Africa,Jansen,Left Arm Fast,Bouncer,Off stump,Full,Run Out,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Cloudy,On-side,Left Arm Chinaman
Avishka Fernando,Batsman,1,127,123,103.25,South Africa,Fortuin,Left Arm Orthodox,Drift,Wide,Full,Not Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Short Ball,Right Arm Mystery
Pathum Nissanka,Batsman,1,61,67,91.04,Bangladesh,Ebadot,Right Arm Fast,Bouncer,Leg stump,Short,Bowled,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,Off-side,Right Arm Fast
Dananjaya De Silva,All-rounder,6,22,34,64.7,Bangladesh,Tanzim,Right Arm Fast,Slower Ball,Leg stump,Full,Stumped,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Hot,Off-side,Left Arm Fast
Dananjaya De Silva,All-rounder,3,12,14,85.71,England,Archer,Right Arm Fast,Slower Ball,Off stump,Full,Not Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,On-side,Left Arm Chinaman
Dananjaya De Silva,All-rounder,6,109,148,73.64,Bangladesh,Shakib,Left Arm Orthodox,Arm Ball,Off stump,Good length,Stumped,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Dry,Pace,Left Arm Fast
Charith Asalanka,All-rounder,5,13,27,48.14,Australia,Stoinis,Right Arm Medium,Knuckle Ball,Leg stump,Bouncer,Caught,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,On-side,Left Arm Chinaman
Kusal mendis,Batsman,4,30,37,81.08,India,Siraj,Right Arm Fast,Yorker,Middle stump,Yorker,Caught,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Off-side,Right Arm Mystery
Dananjaya De Silva,All-rounder,5,41,52,78.84,Bangladesh,Nasum,Left Arm Orthodox,Arm Ball,Leg stump,Bouncer,Run Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Humid,Off-side,Right Arm Leg Spin
Dananjaya De Silva,All-rounder,5,14,22,63.63,Pakistan,Dahani,Right Arm Fast,Slower Ball,Middle stump,Short,Bowled,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,On-side,Left Arm Chinaman
Kusal mendis,Batsman,3,14,31,45.16,India,Thakur,Right Arm Medium,Slower Ball,Off stump,Bouncer,LBW,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,Off-side,Right Arm Mystery
Avishka Fernando,Batsman,1,20,17,117.64,India,Bumrah,Right Arm Fast,Yorker,Leg stump,Full,Caught,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Dry,On-side,Left Arm Fast
Dananjaya De Silva,All-rounder,6,34,54,62.96,India,Bumrah,Right Arm Fast,Bouncer,Wide,Bouncer,Not Out,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Hot,Spin,Left Arm Chinaman
Dananjaya De Silva,All-rounder,6,0,3,0.0,India,Kuldeep,Left Arm Wrist Spin,Googly,Off stump,Full,Stumped,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Hot,Pace,Right Arm Off Spin
Sadeera samarawickrama,Batsman,3,42,57,73.68,India,Bishnoi,Right Arm Leg Spin,Topspin,Leg stump,Short,Not Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,Spin,Left Arm Medium
Avishka Fernando,Batsman,3,30,29,103.44,England,Woakes,Right Arm Medium,Knuckle Ball,Wide,Short,Caught,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Humid,Spin,Right Arm Fast
Kusal mendis,Batsman,4,0,0,0.0,South Africa,Nortje,Right Arm Fast,Bouncer,Wide,Yorker,LBW,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Hot,Spin,Right Arm Off Spin
Charith Asalanka,All-rounder,5,22,35,62.85,South Africa,Hendricks,Left Arm Medium,Cutter,Wide,Yorker,Not Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Cloudy,On-side,Left Arm Orthodox
Pathum Nissanka,Batsman,1,61,67,91.04,Australia,Hazlewood,Right Arm Fast,Bouncer,Middle stump,Short,Bowled,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Hot,Spin,Right Arm Medium
Charith Asalanka,All-rounder,5,13,12,108.33,India,Kuldeep,Left Arm Wrist Spin,Flipper,Leg stump,Short,LBW,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Dry,On-side,Right Arm Off Spin
Kusal mendis,Batsman,3,6,7,85.71,Bangladesh,Mustafizur,Left Arm Medium,Swing,Wide,Full,Run Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Off-side,Left Arm Chinaman
Avishka Fernando,Batsman,2,34,50,68.0,South Africa,Hendricks,Left Arm Medium,Swing,Middle stump,Bouncer,Stumped,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Cloudy,Spin,Left Arm Fast
Dananjaya De Silva,All-rounder,3,0,7,0.0,Pakistan,Abrar,Right Arm Mystery,Carrom Ball,Middle stump,Yorker,Not Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,Spin,Left Arm Chinaman
Charith Asalanka,All-rounder,5,14,21,66.66,South Africa,Ngidi,Right Arm Fast,Yorker,Leg stump,Short,LBW,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Humid,Off-side,Right Arm Off Spin
Kusal mendis,Batsman,3,19,34,55.88,Pakistan,Usama Mir,Right Arm Leg Spin,Topspin,Wide,Good length,Bowled,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Humid,On-side,Left Arm Fast
Pathum Nissanka,Batsman,1,2,4,50.0,South Africa,Nortje,Right Arm Fast,Slower Ball,Middle stump,Bouncer,Stumped,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,Short Ball,Right Arm Mystery
Oshada fernando,Batsman,4,49,49,100.0,Bangladesh,Shakib,Left Arm Orthodox,Arm Ball,Middle stump,Yorker,Run Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,Pace,Left Arm Fast
Sadeera samarawickrama,Batsman,4,41,42,97.61,Australia,Head,Right Arm Off Spin,Off Break,Wide,Short,LBW,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Humid,Short Ball,Left Arm Wrist Spin
Kusal mendis,Batsman,4,0,0,0.0,England,Jacks,Right Arm Off Spin,Off Break,Wide,Good length,Run Out,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Cloudy,Spin,Right Arm Off Spin
Dananjaya De Silva,All-rounder,8,65,74,87.83,Pakistan,Usama Mir,Right Arm Leg Spin,Topspin,Middle stump,Yorker,Caught,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,Pace,Right Arm Fast
Oshada fernando,Batsman,3,25,44,56.81,Australia,Zampa,Right Arm Leg Spin,Googly,Leg stump,Bouncer,Bowled,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,On-side,Left Arm Fast
Oshada fernando,Batsman,3,0,4,0.0,Australia,Stoinis,Right Arm Medium,Knuckle Ball,Wide,Bouncer,Run Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Dry,Spin,Right Arm Medium
Dananjaya De Silva,All-rounder,6,46,59,77.96,Bangladesh,Hasan Mahmud,Right Arm Fast,Bouncer,Wide,Yorker,Caught,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Hot,On-side,Right Arm Leg Spin
Dananjaya De Silva,All-rounder,5,155,262,59.16,England,Rashid,Right Arm Leg Spin,Slider,Off stump,Good length,Stumped,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Humid,Off-side,Left Arm Medium
Pathum Nissanka,Batsman,1,41,36,113.88,India,Kuldeep,Left Arm Wrist Spin,Flipper,Leg stump,Good length,Caught,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,Short Ball,Left Arm Chinaman
Dananjaya De Silva,All-rounder,3,0,3,0.0,India,Kuldeep,Left Arm Wrist Spin,Googly,Off stump,Short,Bowled,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Off-side,Left Arm Medium
Charith Asalanka,All-rounder,5,4,3,133.33,Pakistan,Shadab,Right Arm Leg Spin,Slider,Off stump,Yorker,Stumped,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Dry,Short Ball,Right Arm Leg Spin
Pathum Nissanka,Batsman,1,0,1,0.0,India,Ashwin,Right Arm Off Spin,Arm Ball,Middle stump,Short,LBW,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Cloudy,Pace,Left Arm Medium
Dananjaya De Silva,All-rounder,7,6,13,46.15,Bangladesh,Taijul,Left Arm Orthodox,Arm Ball,Off stump,Yorker,Not Out,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,Off-side,Left Arm Fast
Dananjaya De Silva,All-rounder,3,19,30,63.33,Australia,Agar,Left Arm Spin,Standard,Leg stump,Yorker,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Hot,On-side,Left Arm Medium
Charith Asalanka,All-rounder,5,47,71,66.19,India,Ashwin,Right Arm Off Spin,Arm Ball,Off stump,Full,Caught,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Hot,On-side,Right Arm Fast
Kusal mendis,Batsman,3,14,31,45.16,India,Chahal,Right Arm Leg Spin,Slider,Wide,Full,Run Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Dry,Short Ball,Left Arm Orthodox
Pathum Nissanka,Batsman,2,56,68,82.35,England,Archer,Right Arm Fast,Yorker,Off stump,Yorker,LBW,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Humid,Short Ball,Right Arm Mystery
Pathum Nissanka,Batsman,1,0,3,0.0,Australia,Starc,Left Arm Fast,Bouncer,Leg stump,Short,Bowled,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Humid,On-side,Right Arm Leg Spin
Dananjaya De Silva,All-rounder,5,41,52,78.84,England,Wood,Right Arm Fast,Bouncer,Wide,Yorker,Caught,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,Short Ball,Left Arm Orthodox
Sadeera samarawickrama,Batsman,4,8,18,44.44,India,Siraj,Right Arm Fast,Bouncer,Off stump,Good length,Bowled,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Hot,Pace,Left Arm Wrist Spin
Sadeera samarawickrama,Batsman,4,8,8,100.0,Australia,Agar,Left Arm Spin,Standard,Off stump,Yorker,LBW,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Dry,Spin,Right Arm Off Spin
Pathum Nissanka,Batsman,3,20,36,55.55,Bangladesh,Mustafizur,Left Arm Medium,Swing,Wide,Short,LBW,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Humid,Pace,Right Arm Mystery
Kusal mendis,Batsman,5,24,31,77.41,England,Jacks,Right Arm Off Spin,Off Break,Middle stump,Short,Stumped,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Cloudy,On-side,Right Arm Mystery
Kusal mendis,Batsman,4,18,20,90.0,Australia,Starc,Left Arm Fast,Bouncer,Off stump,Yorker,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Dry,Off-side,Right Arm Fast
Dananjaya De Silva,All-rounder,5,13,26,50.0,South Africa,Rabada,Right Arm Fast,Yorker,Middle stump,Good length,Bowled,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Humid,Short Ball,Right Arm Leg Spin
Kusal mendis,Batsman,3,54,48,112.5,England,Jacks,Right Arm Off Spin,Arm Ball,Leg stump,Full,Bowled,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,On-side,Right Arm Off Spin
Kusal mendis,Batsman,3,6,7,85.71,Bangladesh,Shakib,Left Arm Orthodox,Drift,Middle stump,Good length,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,Short Ball,Right Arm Leg Spin
Kusal mendis,Batsman,4,20,30,66.66,Pakistan,Naseem,Right Arm Fast,Yorker,Wide,Yorker,Caught,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Dry,Off-side,Right Arm Medium
Pathum Nissanka,Batsman,2,13,25,52.0,Bangladesh,Taskin,Right Arm Fast,Yorker,Wide,Bouncer,LBW,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Dry,Short Ball,Left Arm Fast
Pathum Nissanka,Batsman,2,13,25,52.0,Bangladesh,Shakib,Left Arm Orthodox,Arm Ball,Off stump,Bouncer,Run Out,Bengaluru,India,Batting Friendly,75m x 80m,Batting Friendly,Dry,Off-side,Left Arm Chinaman
Kusal mendis,Batsman,4,3,13,23.07,South Africa,Phehlukwayo,Right Arm Medium,Knuckle Ball,Off stump,Short,Bowled,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Humid,On-side,Right Arm Off Spin
Dananjaya De Silva,All-rounder,6,5,19,26.31,Bangladesh,Shoriful,Left Arm Fast,Yorker,Wide,Good length,Caught,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Hot,Spin,Left Arm Orthodox
Dananjaya De Silva,All-rounder,6,102,131,77.86,South Africa,Jansen,Left Arm Fast,Bouncer,Off stump,Full,Stumped,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Humid,Pace,Right Arm Fast
Kusal mendis,Batsman,3,4,17,23.52,Bangladesh,Taskin,Right Arm Fast,Bouncer,Middle stump,Yorker,Not Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Dry,On-side,Right Arm Fast
Pathum Nissanka,Batsman,1,72,80,90.0,England,Rashid,Right Arm Leg Spin,Slider,Leg stump,Full,Caught,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Dry,Pace,Right Arm Off Spin
Avishka Fernando,Batsman,1,7,13,53.84,South Africa,Maharaj,Left Arm Orthodox,Arm Ball,Middle stump,Bouncer,Not Out,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Dry,Short Ball,Right Arm Fast
Dananjaya De Silva,All-rounder,7,0,6,0.0,South Africa,Maharaj,Left Arm Orthodox,Arm Ball,Leg stump,Full,LBW,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Hot,Off-side,Left Arm Fast
Dananjaya De Silva,All-rounder,9,17,17,100.0,Pakistan,Usama Mir,Right Arm Leg Spin,Slider,Off stump,Yorker,Not Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Humid,On-side,Left Arm Wrist Spin
Avishka Fernando,Batsman,2,1,4,25.0,Pakistan,Shadab,Right Arm Leg Spin,Slider,Middle stump,Full,Caught,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Hot,Spin,Right Arm Medium
Avishka Fernando,Batsman,1,118,115,102.6,England,Topley,Left Arm Medium,Swing,Leg stump,Short,Caught,Delhi,India,Batting Friendly,75m x 78m,Batting Friendly,Hot,Spin,Left Arm Wrist Spin
Kusal mendis,Batsman,3,87,85,102.35,Bangladesh,Shakib,Left Arm Orthodox,Arm Ball,Off stump,Yorker,Bowled,Chattogram,Bangladesh,Balanced,72m x 76m,Balanced,Humid,On-side,Right Arm Mystery
Charith Asalanka,All-rounder,5,37,42,88.09,Pakistan,Rauf,Right Arm Fast,Yorker,Wide,Yorker,Bowled,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Humid,Off-side,Left Arm Wrist Spin
Kusal mendis,Batsman,3,34,34,100.0,England,Moeen,Right Arm Off Spin,Off Break,Wide,Good length,LBW,The Oval,England,Batting Friendly,78m x 82m,Batting Friendly,Cloudy,Spin,Right Arm Off Spin
Kusal mendis,Batsman,4,41,31,132.25,South Africa,Jansen,Left Arm Fast,Swing,Middle stump,Full,Not Out,Mirpur,Bangladesh,Spin Friendly,66m x 72m,Spin Friendly,Hot,Pace,Right Arm Fast
Kusal mendis,Batsman,3,62,94,65.95,Bangladesh,Tanzim,Right Arm Fast,Slower Ball,Wide,Bouncer,LBW,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Hot,Short Ball,Right Arm Off Spin
Dananjaya De Silva,All-rounder,4,59,98,60.2,Bangladesh,Nasum,Left Arm Orthodox,Arm Ball,Leg stump,Bouncer,Run Out,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Hot,Spin,Left Arm Fast
Avishka Fernando,Batsman,1,6,14,42.85,India,Axar,Left Arm Orthodox,Drift,Middle stump,Short,Not Out,Colombo (RPS),Sri Lanka,Balanced,75m x 80m,Balanced,Dry,Spin,Left Arm Chinaman
Kusal mendis,Batsman,3,5,21,23.8,South Africa,Ngidi,Right Arm Fast,Slower Ball,Middle stump,Full,Run Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Cloudy,Short Ball,Right Arm Mystery
Dananjaya De Silva,All-rounder,3,173,229,75.54,India,Chahal,Right Arm Leg Spin,Slider,Wide,Good length,Caught,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,Short Ball,Right Arm Mystery
Charith Asalanka,All-rounder,5,37,42,88.09,Bangladesh,Shoriful,Left Arm Fast,Yorker,Middle stump,Full,Run Out,Pallekele,Sri Lanka,Balanced,74m x 78m,Balanced,Hot,Off-side,Left Arm Medium
Sadeera samarawickrama,Batsman,4,8,18,44.44,Bangladesh,Ebadot,Right Arm Fast,Bouncer,Wide,Yorker,LBW,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Dry,Pace,Left Arm Chinaman
Kusal mendis,Batsman,4,4,6,66.66,India,Siraj,Right Arm Fast,Yorker,Off stump,Short,Not Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Humid,Off-side,Left Arm Fast
Dananjaya De Silva,All-rounder,3,9,12,75.0,Australia,Ellis,Right Arm Fast,Bouncer,Leg stump,Good length,Not Out,Chester-le-Street,England,Balanced,74m x 79m,Balanced,Cloudy,Pace,Right Arm Medium
Charith Asalanka,All-rounder,4,23,28,82.14,Australia,Ellis,Right Arm Fast,Slower Ball,Middle stump,Yorker,Stumped,Lucknow,India,Spin Friendly,70m x 73m,Spin Friendly,Dry,Off-side,Right Arm Fast
Dananjaya De Silva,All-rounder,5,11,20,55.0,Pakistan,Dahani,Right Arm Fast,Slower Ball,Wide,Yorker,Run Out,Bristol,England,Bowling Friendly,70m x 72m,Bowling Friendly,Cloudy,On-side,Left Arm Fast
